Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,,,,,,
01-04-2017,30-04-2017,ABFRL.NS,10.49264564,154.06604,170.2316437,11049.26456,1049.264564,,Total Amount Invested: $ 60780000,,,,
01-04-2017,30-04-2017,AEGISCHEM.NS,-1.093873885,196.5500031,194.3999939,9890.612611,-109.3873885,,Total Amount Returned: $ 61785613.8531698,,,,
01-04-2017,30-04-2017,ALLCARGO.NS,11.15023514,42.59999847,47.34999847,11115.02351,1115.023514,,Percentage Return:  1.6545144013981554 %,,,,
01-04-2017,30-04-2017,BEL.NS,14.415259,48.45454407,55.43939209,11441.5259,1441.5259,,,,,,
01-04-2017,30-04-2017,BHARATFORG.NS,6.424020268,537.8250122,572.375,10642.40203,642.4020268,,,,,,
01-04-2017,30-04-2017,BHARTIARTL.NS,4.008183334,308.0497437,320.3969421,10400.81833,400.8183334,,,,,,
01-04-2017,30-04-2017,BPCL.NS,12.66447207,425.6000061,479.5,11266.44721,1266.447207,,,,,,
01-04-2017,30-04-2017,CIPLA.NS,-5.939426433,592.6500244,557.4500122,9406.057357,-593.9426433,,,,,,
01-04-2017,30-04-2017,DABUR.NS,2.301110413,280.2999878,286.75,10230.11104,230.1110413,,,,,,
01-04-2017,30-04-2017,DEEPAKFERT.NS,2.551312739,252.7289734,259.1768799,10255.13127,255.1312739,,,,,,
01-04-2017,30-04-2017,ECLERX.NS,-7.629741276,938.4333496,866.833313,9237.025872,-762.9741276,,,,,,
01-04-2017,30-04-2017,EIDPARRY.NS,4.515456852,287.8999939,300.8999939,10451.54569,451.5456852,,,,,,
01-04-2017,30-04-2017,ELGIEQUIP.NS,-5.258254125,107.4499969,101.8000031,9474.174588,-525.8254125,,,,,,
01-04-2017,30-04-2017,EMAMILTD.NS,0.85775554,524.625,529.125,10085.77555,85.77555397,,,,,,
01-04-2017,30-04-2017,GAIL.NS,10.1884348,96.18752289,105.9875259,11018.84348,1018.84348,,,,,,
01-04-2017,30-04-2017,GLAXO.NS,-8.740786992,1367.724976,1248.175049,9125.921301,-874.0786992,,,,,,
01-04-2017,30-04-2017,GMRINFRA.NS,5.828218488,14.68513393,15.54101563,10582.82185,582.8218488,,,,,,
01-04-2017,30-04-2017,GODFRYPHLP.NS,3.056996927,1158,1193.400024,10305.69969,305.6996927,,,,,,
01-04-2017,30-04-2017,GODREJCP.NS,2.765498347,565.2999878,580.9333496,10276.54983,276.5498347,,,,,,
01-04-2017,30-04-2017,GRASIM.NS,9.941936514,810.5541382,891.138916,10994.19365,994.1936514,,,,,,
01-04-2017,30-04-2017,GSPL.NS,9.930158949,164.6499939,181,10993.01589,993.0158949,,,,,,
01-04-2017,30-04-2017,HINDALCO.NS,2.970041229,193.6000061,199.3500061,10297.00412,297.0041229,,,,,,
01-04-2017,30-04-2017,HINDZINC.NS,-8.110422977,291.6000061,267.9500122,9188.957702,-811.0422977,,,,,,
01-04-2017,30-04-2017,IDFC.NS,13.21101057,54.5,61.70000076,11321.10106,1321.101057,,,,,,
01-04-2017,30-04-2017,IGL.NS,4.242842813,202.9299927,211.5399933,10424.28428,424.2842813,,,,,,
01-04-2017,30-04-2017,INDIACEM.NS,31.78082006,164.25,216.4499969,13178.08201,3178.082006,,,,,,
01-04-2017,30-04-2017,INDIANB.NS,13.57892587,280.9500122,319.1000061,11357.89259,1357.892587,,,,,,
01-04-2017,30-04-2017,INFY.NS,-8.906619416,504.3999939,459.4750061,9109.338058,-890.6619416,,,,,,
01-04-2017,30-04-2017,IOB.NS,8.007447255,26.85000038,29,10800.74473,800.7447255,,,,,,
01-04-2017,30-04-2017,IRB.NS,8.191615198,24.11000061,26.08499908,10819.16152,819.1615198,,,,,,
01-04-2017,30-04-2017,JAMNAAUTO.NS,12.09865244,42.97999954,48.18000031,11209.86524,1209.865244,,,,,,
01-04-2017,30-04-2017,JBMA.NS,-0.571326021,112.0199966,111.3799973,9942.867398,-57.13260211,,,,,,
01-04-2017,30-04-2017,JKPAPER.NS,13.14678456,94.69999695,107.1500015,11314.67846,1314.678456,,,,,,
01-04-2017,30-04-2017,JSWENERGY.NS,4.439262055,64.19999695,67.05000305,10443.92621,443.9262055,,,,,,
01-04-2017,30-04-2017,JSWSTEEL.NS,5.346747713,188.8999939,199,10534.67477,534.6747713,,,,,,
01-04-2017,30-04-2017,JUSTDIAL.NS,-7.773490553,544.7999878,502.4500122,9222.650945,-777.3490553,,,,,,
01-04-2017,30-04-2017,MAHABANK.NS,8.320948321,33.65000153,36.45000076,10832.09483,832.0948321,,,,,,
01-04-2017,30-04-2017,MANAPPURAM.NS,-4.642860257,98,93.44999695,9535.713974,-464.2860257,,,,,,
01-04-2017,30-04-2017,MARUTI.NS,7.458005561,6072,6524.850098,10745.80056,745.8005561,,,,,,
01-04-2017,30-04-2017,MFSL.NS,15.53637666,567.7000122,655.9000244,11553.63767,1553.637666,,,,,,
01-04-2017,30-04-2017,MINDACORP.NS,17.47775658,95.55000305,112.25,11747.77566,1747.775658,,,,,,
