Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,,,,,,,
01-04-2017,30-04-2017,ABB.NS,6.662635575,1199.78064,1279.717651,10666.26356,666.2635575,,,Total Amount Invested: $ 36200000,,,,
01-04-2017,30-04-2017,ADANIENT.NS,-2.549192692,60.91995621,59.36698914,9745.080731,-254.9192692,,,Total Amount Returned: $ 36876910.70595956,,,,
01-04-2017,30-04-2017,APLAPOLLO.NS,22.09887754,120.2549973,146.8300018,12209.88775,2209.887754,,,Percentage Return:  1.8699190772363494 %,,,,
01-04-2017,30-04-2017,APOLLOTYRE.NS,16.05231867,210.25,244,11605.23187,1605.231867,,,,,,,
01-04-2017,30-04-2017,ASAHIINDIA.NS,-1.573186001,219.3000031,215.8500061,9842.6814,-157.3186001,,,,,,,
01-04-2017,30-04-2017,ATUL.NS,3.217080365,2367.050049,2443.199951,10321.70804,321.7080365,,,,,,,
01-04-2017,30-04-2017,BAJAJFINSV.NS,11.64887179,409.8250122,457.5650024,11164.88718,1164.887179,,,,,,,
01-04-2017,30-04-2017,BAJAJHLDNG.NS,-2.481265944,2168.25,2114.449951,9751.873406,-248.1265944,,,,,,,
01-04-2017,30-04-2017,BAJFINANCE.NS,7.992380044,1181.75,1276.199951,10799.238,799.2380044,,,,,,,
01-04-2017,30-04-2017,BALAMINES.NS,2.527797411,377.7999878,387.3500061,10252.77974,252.7797411,,,,,,,
01-04-2017,30-04-2017,BANKINDIA.NS,34.0028775,139.3999939,186.8000031,13400.28775,3400.28775,,,,,,,
01-04-2017,30-04-2017,BEML.NS,2.386511011,1153.972168,1181.511841,10238.6511,238.6511011,,,,,,,
01-04-2017,30-04-2017,BERGEPAINT.NS,5.215460119,206.9166718,217.7083282,10521.54601,521.5460119,,,,,,,
01-04-2017,30-04-2017,BIRLACORPN.NS,3.567851016,748.3499756,775.0499878,10356.7851,356.7851016,,,,,,,
01-04-2017,30-04-2017,BRIGADE.NS,6.118047801,154.7333374,164.1999969,10611.80478,611.8047801,,,,,,,
01-04-2017,30-04-2017,BRITANNIA.NS,6.865291771,1695.849976,1812.275024,10686.52918,686.5291771,,,,,,,
01-04-2017,30-04-2017,CANFINHOME.NS,12.60380087,464.8599854,523.4500122,11260.38009,1260.380087,,,,,,,
01-04-2017,30-04-2017,CEATLTD.NS,14.27394358,1335.300049,1525.900024,11427.39436,1427.394358,,,,,,,
