Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,,Total Amount Invested: $ 53100000,,,,,
01-04-2017,30-04-2017,3MINDIA.NS,-3.614548657,11930.9502,11499.7002,9638.545134,-361.4548657,,Total Amount Returned: $ 53848896.34435441,,,,,
01-04-2017,30-04-2017,ABBOTINDIA.NS,-7.196204945,4767.100098,4424.049805,9280.379505,-719.6204945,,Percentage Return:  1.4103509309875961 %,,,,,
01-04-2017,30-04-2017,ACC.NS,11.25894204,1461.949951,1626.550049,11125.8942,1125.894204,,,,,,,
01-04-2017,30-04-2017,ADANIPOWER.NS,-18.91892044,40.70000076,33,8108.107956,-1891.892044,,,,,,,
01-04-2017,30-04-2017,AMBUJACEM.NS,3.515045564,237.5500031,245.8999939,10351.50456,351.5045564,,,,,,,
01-04-2017,30-04-2017,APARINDS.NS,8.431850215,735.9000244,797.9500122,10843.18502,843.1850215,,,,,,,
01-04-2017,30-04-2017,APLLTD.NS,-1.40879091,621.0999756,612.3499756,9859.120909,-140.879091,,,,,,,
01-04-2017,30-04-2017,ASIANPAINT.NS,2.807723657,1089.849976,1120.449951,10280.77237,280.7723657,,,,,,,
01-04-2017,30-04-2017,BALKRISIND.NS,8.021274864,705,761.5499878,10802.12749,802.1274864,,,,,,,
01-04-2017,30-04-2017,BANKBARODA.NS,8.787708638,172.3999939,187.5500031,10878.77086,878.7708638,,,,,,,
01-04-2017,30-04-2017,BHEL.NS,5.241085433,111.3000031,117.1333313,10524.10854,524.1085433,,,,,,,
01-04-2017,30-04-2017,BIOCON.NS,-2.43105198,188.5333405,183.9499969,9756.894802,-243.105198,,,,,,,
01-04-2017,30-04-2017,BOSCHLTD.NS,1.572069003,22635.75,22991.59961,10157.2069,157.2069003,,,,,,,
01-04-2017,30-04-2017,CANBK.NS,17.44127885,304.4500122,357.5499878,11744.12788,1744.127885,,,,,,,
01-04-2017,30-04-2017,CASTROLIND.NS,1.108030392,216.6000061,219,10110.80304,110.8030392,,,,,,,
01-04-2017,30-04-2017,CCL.NS,0.900241564,338.7999878,341.8500061,10090.02416,90.02415645,,,,,,,
01-04-2017,30-04-2017,CESC.NS,10.11890744,77.00843048,84.80084229,11011.89074,1011.890744,,,,,,,
01-04-2017,30-04-2017,CGCL.NS,10.18118751,54.81605148,60.39697647,11018.11875,1018.118751,,,,,,,
