Date,Stocks,Number_of_Stocks
01-02-2020,"BEL.NS, BOSCHLTD.NS, CIPLA.NS, COALINDIA.NS, COLPAL.NS, ENGINERSIN.NS, GILLETTE.NS, GLENMARK.NS, HAVELLS.NS, HINDALCO.NS, HINDPETRO.NS, HINDZINC.NS, INDUSINDBK.NS, IOC.NS, JSWENERGY.NS, KARURVYSYA.NS, MARICO.NS, OIL.NS, ONGC.NS, RELIANCE.NS, SHRIRAMFIN.NS, UNIONBANK.NS, UPL.NS, VEDL.NS, WELSPUNLIV.NS",25
01-03-2020,"3MINDIA.NS, ABB.NS, ADANIPORTS.NS, APOLLOTYRE.NS, ASHOKLEY.NS, ATGL.NS, AVANTIFEED.NS, BAJAJ-AUTO.NS, BALRAMCHIN.NS, BATAINDIA.NS, BHARATFORG.NS, BPCL.NS, BRITANNIA.NS, BSE.NS, CESC.NS, CHAMBLFERT.NS, COALINDIA.NS, COLPAL.NS, CONCOR.NS, CRISIL.NS, CUB.NS, DALBHARAT.NS, DCMSHRIRAM.NS, DEEPAKFERT.NS, DIXON.NS, DLF.NS, ECLERX.NS, EIDPARRY.NS, GAIL.NS, GLAXO.NS, GLENMARK.NS, GPIL.NS, GRASIM.NS, GUJALKALI.NS, HCLTECH.NS, HDFCBANK.NS, HDFCLIFE.NS, HEG.NS, HEROMOTOCO.NS, ICICIBANK.NS, ICICIGI.NS, IDFCFIRSTB.NS, INDUSINDBK.NS, IOC.NS, ITI.NS, JSWSTEEL.NS, JUSTDIAL.NS, KPRMILL.NS, MAHLIFE.NS, MARICO.NS, MARUTI.NS, MGL.NS, MHRIL.NS, NBCC.NS, NHPC.NS, NMDC.NS, NTPC.NS, OFSS.NS, OIL.NS, PAGEIND.NS, PCBL.NS, PEL.NS, PETRONET.NS, PNBHOUSING.NS, PNCINFRA.NS, PRAJIND.NS, PRESTIGE.NS, QUESS.NS, RECLTD.NS, RELIANCE.NS, RENUKA.NS, SHOPERSTOP.NS, SIEMENS.NS, SKFINDIA.NS, SUNPHARMA.NS, SUNTECK.NS, SUNTV.NS, TATACOMM.NS, TATASTEEL.NS, TCS.NS, TECHM.NS, THERMAX.NS, TRIVENI.NS, UPL.NS, VARROC.NS, VIPIND.NS",86
01-04-2020,"ADANIENT.NS, ADANIPOWER.NS, ALLCARGO.NS, APLAPOLLO.NS, ASHOKLEY.NS, ATGL.NS, BANKBARODA.NS, CENTRALBK.NS, CENTURYPLY.NS, CENTURYTEX.NS, CGPOWER.NS, FSL.NS, GPIL.NS, HINDCOPPER.NS, HUDCO.NS, IDBI.NS, IEX.NS, INFIBEAM.NS, IOB.NS, IOC.NS, IRB.NS, JAMNAAUTO.NS, JINDALSAW.NS, JKPAPER.NS, JMFINANCIL.NS, JSL.NS, JSWENERGY.NS, KNRCON.NS, LAURUSLABS.NS, MAHABANK.NS, MMTC.NS, MOTHERSON.NS, NBCC.NS, NETWORK18.NS, PCBL.NS, PRAJIND.NS, RAIN.NS, RECLTD.NS, REDINGTON.NS, SAIL.NS, TATAPOWER.NS, TATASTEEL.NS, TRITURBINE.NS, TRIVENI.NS, TTML.NS, UNIONBANK.NS, VBL.NS, WELSPUNLIV.NS, ZENSARTECH.NS",49
01-05-2020,"ASTERDM.NS, AUBANK.NS, BANKBARODA.NS, BANKINDIA.NS, BIRLACORPN.NS, BLS.NS, BRIGADE.NS, CANBK.NS, CENTURYTEX.NS, CHOLAHLDNG.NS, CYIENT.NS, DELTACORP.NS, EIHOTEL.NS, ELGIEQUIP.NS, IDFCFIRSTB.NS, IIFL.NS, JKLAKSHMI.NS, LUXIND.NS, M&MFIN.NS, MHRIL.NS, PERSISTENT.NS, PNB.NS, PNBHOUSING.NS, RATNAMANI.NS, SUNTECK.NS, TATAPOWER.NS, TRIVENI.NS, UNIONBANK.NS, VARROC.NS, VIPIND.NS, VTL.NS, ZENSARTECH.NS",32
01-06-2020,"AAVAS.NS, ALKEM.NS, ASTERDM.NS, AUBANK.NS, BAJAJFINSV.NS, BAJFINANCE.NS, BANKBARODA.NS, BANKINDIA.NS, BRIGADE.NS, CANFINHOME.NS, CENTURYPLY.NS, CHOLAHLDNG.NS, COCHINSHIP.NS, CREDITACC.NS, CYIENT.NS, FORTIS.NS, GILLETTE.NS, IDFC.NS, INDIANB.NS, INDUSINDBK.NS, JINDALSAW.NS, KARURVYSYA.NS, LEMONTREE.NS, M&MFIN.NS, MAHABANK.NS, MAHLIFE.NS, OLECTRA.NS, PFC.NS, PNB.NS, PNBHOUSING.NS, RAJESHEXPO.NS, RAYMOND.NS, SBIN.NS, SCHAEFFLER.NS, SUNTECK.NS, SUPRAJIT.NS, TEAMLEASE.NS, TEJASNET.NS, UNIONBANK.NS, VARROC.NS, VIPIND.NS, WELCORP.NS",42
01-07-2020,PATANJALI.NS,1
01-08-2020,"ALOKINDS.NS, PATANJALI.NS",2
01-09-2020,"3MINDIA.NS, ACC.NS, AJANTPHARM.NS, APLLTD.NS, AUROPHARMA.NS, BHARTIARTL.NS, BIOCON.NS, BOSCHLTD.NS, COLPAL.NS, DABUR.NS, DRREDDY.NS, GODREJCP.NS, GSPL.NS, HAL.NS, HDFCLIFE.NS, HINDUNILVR.NS, ICICIGI.NS, ICICIPRULI.NS, IGL.NS, JKLAKSHMI.NS, LALPATHLAB.NS, MCDOWELL-N.NS, MGL.NS, MRF.NS, NESTLEIND.NS, PAGEIND.NS, PGHH.NS, RAJESHEXPO.NS, SBILIFE.NS, SHREECEM.NS, SWANENERGY.NS, ULTRACEMCO.NS",32
01-10-2020,"BCG.NS, BHARTIARTL.NS, BHEL.NS, BPCL.NS, CASTROLIND.NS, CENTRALBK.NS, COALINDIA.NS, GICRE.NS, GMMPFAUDLR.NS, IOC.NS, ITC.NS, MGL.NS, MMTC.NS, MRPL.NS, PNB.NS, SUZLON.NS, UNIONBANK.NS, YESBANK.NS, ZFCVINDIA.NS",19
01-11-2020,"3MINDIA.NS, ABBOTINDIA.NS, ALKEM.NS, AUROPHARMA.NS, BAJAJ-AUTO.NS, BAJAJFINSV.NS, BAJAJHLDNG.NS, BAYERCROP.NS, BBTC.NS, BDL.NS, BIOCON.NS, BOSCHLTD.NS, BRITANNIA.NS, BSE.NS, CCL.NS, CENTURYTEX.NS, EICHERMOT.NS, FORTIS.NS, GALAXYSURF.NS, GICRE.NS, GLAXO.NS, GMMPFAUDLR.NS, GODREJCP.NS, GODREJIND.NS, HDFCAMC.NS, HEROMOTOCO.NS, HINDUNILVR.NS, ICICIPRULI.NS, IIFL.NS, INGERRAND.NS, ITC.NS, KSB.NS, LUPIN.NS, MCDOWELL-N.NS, MGL.NS, MOTILALOFS.NS, NIACL.NS, RELIANCE.NS, SANOFI.NS, SBILIFE.NS, SOLARINDS.NS, SPARC.NS, SUNPHARMA.NS, TORNTPHARM.NS, UBL.NS, UPL.NS, VBL.NS, VIPIND.NS",48
01-12-2020,ALOKINDS.NS,1
01-01-2021,PATANJALI.NS,1
01-02-2021,"AARTIIND.NS, ABFRL.NS, ACC.NS, AMBUJACEM.NS, APLLTD.NS, ASIANPAINT.NS, BATAINDIA.NS, BAYERCROP.NS, BBTC.NS, BERGEPAINT.NS, BRITANNIA.NS, CDSL.NS, CHOLAHLDNG.NS, COFORGE.NS, CREDITACC.NS, CUB.NS, DABUR.NS, EPL.NS, ESCORTS.NS, FINEORG.NS, GILLETTE.NS, GLAXO.NS, GLENMARK.NS, GMMPFAUDLR.NS, GODFRYPHLP.NS, GODREJPROP.NS, GRANULES.NS, GSPL.NS, HINDUNILVR.NS, INDIGO.NS, JKLAKSHMI.NS, LINDEINDIA.NS, M&MFIN.NS, MARUTI.NS, MCDOWELL-N.NS, MCX.NS, MUTHOOTFIN.NS, NATCOPHARM.NS, NAUKRI.NS, NAVINFLUOR.NS, NESTLEIND.NS, PEL.NS, PETRONET.NS, RALLIS.NS, RAMCOCEM.NS, RATNAMANI.NS, RELIANCE.NS, SANOFI.NS, SHREECEM.NS, SWSOLAR.NS, SYNGENE.NS, TATACONSUM.NS, TITAN.NS, TORNTPHARM.NS, TORNTPOWER.NS, TRENT.NS, ZFCVINDIA.NS, ZYDUSLIFE.NS",58
01-03-2021,"AARTIDRUGS.NS, AIAENG.NS, ALKEM.NS, ALOKINDS.NS, ASIANPAINT.NS, ASTERDM.NS, AUROPHARMA.NS, AVANTIFEED.NS, BATAINDIA.NS, BBTC.NS, BERGEPAINT.NS, BIOCON.NS, BRITANNIA.NS, BSOFT.NS, CCL.NS, CREDITACC.NS, DABUR.NS, DIVISLAB.NS, DRREDDY.NS, EICHERMOT.NS, EPL.NS, FDC.NS, FINEORG.NS, GLENMARK.NS, GODFRYPHLP.NS, GODREJCP.NS, HINDUNILVR.NS, ICICIPRULI.NS, IGL.NS, IPCALAB.NS, KOTAKBANK.NS, LTIM.NS, MARUTI.NS, MCDOWELL-N.NS, MCX.NS, NATCOPHARM.NS, NESTLEIND.NS, OFSS.NS, PFIZER.NS, PGHL.NS, RALLIS.NS, SPARC.NS, TCS.NS, TORNTPHARM.NS, UBL.NS, UJJIVANSFB.NS, ZYDUSLIFE.NS",47
01-04-2021,"ASTERDM.NS, BAJAJHLDNG.NS, BATAINDIA.NS, BBTC.NS, BHARTIARTL.NS, BOSCHLTD.NS, CREDITACC.NS, CRISIL.NS, CUB.NS, EIDPARRY.NS, EIHOTEL.NS, EXIDEIND.NS, FEDERALBNK.NS, GMRINFRA.NS, GRANULES.NS, IBULHSGFIN.NS, INGERRAND.NS, ISEC.NS, ITI.NS, JMFINANCIL.NS, JUBLPHARMA.NS, KOTAKBANK.NS, KRBL.NS, LEMONTREE.NS, M&M.NS, MANAPPURAM.NS, MARUTI.NS, MHRIL.NS, MRF.NS, NAUKRI.NS, PETRONET.NS, PGHL.NS, RALLIS.NS, RBLBANK.NS, VARROC.NS, VIPIND.NS, WHIRLPOOL.NS",37
01-05-2021,"ADANIGREEN.NS, AUBANK.NS, BERGEPAINT.NS, BIOCON.NS, BORORENEW.NS, BOSCHLTD.NS, BRITANNIA.NS, CEATLTD.NS, CHALET.NS, COLPAL.NS, CREDITACC.NS, DLF.NS, EIHOTEL.NS, ENDURANCE.NS, ESCORTS.NS, EXIDEIND.NS, GMRINFRA.NS, GODFRYPHLP.NS, GODREJCP.NS, GPPL.NS, HAVELLS.NS, HCLTECH.NS, HDFCAMC.NS, HDFCLIFE.NS, HEROMOTOCO.NS, IDEA.NS, INFIBEAM.NS, ITC.NS, ITI.NS, JMFINANCIL.NS, KEC.NS, L&TFH.NS, LT.NS, M&M.NS, M&MFIN.NS, MARUTI.NS, MCDOWELL-N.NS, NESTLEIND.NS, NLCINDIA.NS, OLECTRA.NS, ORIENTELEC.NS, PRESTIGE.NS, RAYMOND.NS, RBLBANK.NS, SANOFI.NS, SUNTECK.NS, TCS.NS, UCOBANK.NS, UJJIVANSFB.NS, ZEEL.NS",50
01-06-2021,"AMBER.NS, SWSOLAR.NS",2
01-07-2021,"3MINDIA.NS, ATGL.NS, CHOLAFIN.NS, INDIAMART.NS, JUBLPHARMA.NS, KOTAKBANK.NS, MRF.NS, PAGEIND.NS, SHREECEM.NS, SYMPHONY.NS",10
01-08-2021,"AARTIDRUGS.NS, ADANIPOWER.NS, BANDHANBNK.NS, BHEL.NS, ENGINERSIN.NS, GAIL.NS, GICRE.NS, HUDCO.NS, IDEA.NS, IDFCFIRSTB.NS, INFIBEAM.NS, IOC.NS, IRCON.NS, JUBLPHARMA.NS, KARURVYSYA.NS, MAHABANK.NS, MRPL.NS, RBLBANK.NS, RVNL.NS, SUZLON.NS, TATAMOTORS.NS, UJJIVANSFB.NS, VARROC.NS, YESBANK.NS, ZEEL.NS",25
01-09-2021,"AARTIDRUGS.NS, AAVAS.NS, ABCAPITAL.NS, AUBANK.NS, BANKINDIA.NS, BHEL.NS, BIOCON.NS, BOSCHLTD.NS, CENTRALBK.NS, COCHINSHIP.NS, COROMANDEL.NS, CSBBANK.NS, EIHOTEL.NS, FACT.NS, FINCABLES.NS, GMMPFAUDLR.NS, GPIL.NS, GRANULES.NS, GSFC.NS, HINDCOPPER.NS, HUDCO.NS, IBULHSGFIN.NS, IDEA.NS, INDIACEM.NS, INDIANB.NS, INDUSTOWER.NS, INGERRAND.NS, IOB.NS, ITI.NS, JINDALSTEL.NS, KARURVYSYA.NS, L&TFH.NS, LEMONTREE.NS, MANAPPURAM.NS, MINDACORP.NS, MMTC.NS, MRPL.NS, NATCOPHARM.NS, NBCC.NS, NLCINDIA.NS, NMDC.NS, PNB.NS, RALLIS.NS, RCF.NS, RENUKA.NS, RVNL.NS, SJVN.NS, STLTECH.NS, SUNTV.NS, SUZLON.NS, TATAMOTORS.NS, TV18BRDCST.NS, TVSMOTOR.NS, UCOBANK.NS, UPL.NS, VAIBHAVGBL.NS, WELCORP.NS, ZYDUSLIFE.NS",58
01-10-2021,"AARTIDRUGS.NS, AUROPHARMA.NS, AVANTIFEED.NS, BANKINDIA.NS, BAYERCROP.NS, BBTC.NS, DIVISLAB.NS, GLAXO.NS, GLENMARK.NS, GRANULES.NS, GUJGASLTD.NS, HDFCAMC.NS, HINDCOPPER.NS, HINDZINC.NS, JKLAKSHMI.NS, LUPIN.NS, LUXIND.NS, METROPOLIS.NS, NATCOPHARM.NS, NMDC.NS, PFIZER.NS, SANOFI.NS, SYNGENE.NS, THERMAX.NS, UPL.NS, VAIBHAVGBL.NS",26
01-11-2021,"AARTIDRUGS.NS, ABCAPITAL.NS, AEGISCHEM.NS, ALKEM.NS, BALAMINES.NS, BBTC.NS, BERGEPAINT.NS, BRITANNIA.NS, CEATLTD.NS, CENTURYTEX.NS, EICHERMOT.NS, EPL.NS, FACT.NS, FDC.NS, GICRE.NS, HAPPSTMNDS.NS, HEROMOTOCO.NS, ICICIPRULI.NS, IGL.NS, INDIAMART.NS, IPCALAB.NS, JUBLPHARMA.NS, KANSAINER.NS, LAURUSLABS.NS, MGL.NS, NAVINFLUOR.NS, NCC.NS, PCBL.NS, RALLIS.NS, SPARC.NS, TCS.NS, ZYDUSLIFE.NS",32
01-12-2021,"ANGELONE.NS, APOLLOTYRE.NS, ASHOKLEY.NS, AUBANK.NS, AVANTIFEED.NS, BALAMINES.NS, BALKRISIND.NS, BANKINDIA.NS, BAYERCROP.NS, BHARATFORG.NS, CEATLTD.NS, COALINDIA.NS, COROMANDEL.NS, CSBBANK.NS, CUB.NS, DEEPAKNTR.NS, EICHERMOT.NS, EIHOTEL.NS, EPL.NS, ERIS.NS, EXIDEIND.NS, FDC.NS, FEDERALBNK.NS, GALAXYSURF.NS, GESHIP.NS, GILLETTE.NS, HAPPSTMNDS.NS, HDFCBANK.NS, HEG.NS, HINDALCO.NS, HINDCOPPER.NS, HONAUT.NS, HUDCO.NS, ICICIPRULI.NS, IDFCFIRSTB.NS, INFIBEAM.NS, ITI.NS, JINDALSTEL.NS, JSWENERGY.NS, JSWSTEEL.NS, JUBLPHARMA.NS, L&TFH.NS, LEMONTREE.NS, LICHSGFIN.NS, M&MFIN.NS, MANAPPURAM.NS, MHRIL.NS, MPHASIS.NS, NBCC.NS, NCC.NS, PCBL.NS, PFC.NS, PIDILITIND.NS, PNB.NS, RALLIS.NS, RAMCOCEM.NS, RCF.NS, ROSSARI.NS, SAIL.NS, SBICARD.NS, SHREECEM.NS, SPARC.NS, SUNDARMFIN.NS, SWANENERGY.NS, UBL.NS, UCOBANK.NS, UJJIVANSFB.NS, UPL.NS, ZYDUSLIFE.NS, ZYDUSWELL.NS",70
01-01-2022,"ASTERDM.NS, AUBANK.NS, BANDHANBNK.NS, BANKINDIA.NS, CAMS.NS, CANFINHOME.NS, CASTROLIND.NS, CHOLAFIN.NS, CHOLAHLDNG.NS, CUB.NS, FEDERALBNK.NS, GILLETTE.NS, GODFRYPHLP.NS, GODREJPROP.NS, GPIL.NS, HAL.NS, HDFCLIFE.NS, HUDCO.NS, ICICIPRULI.NS, IGL.NS, INDIAMART.NS, INDUSINDBK.NS, INDUSTOWER.NS, IOC.NS, JYOTHYLAB.NS, KOTAKBANK.NS, M&MFIN.NS, MGL.NS, NAM-INDIA.NS, OFSS.NS, PATANJALI.NS, PNBHOUSING.NS, PNCINFRA.NS, PRINCEPIPE.NS, SHRIRAMFIN.NS, SUNTV.NS, TATAINVEST.NS, VGUARD.NS, WHIRLPOOL.NS, ZYDUSWELL.NS",40
01-02-2022,"BLUESTARCO.NS, DABUR.NS, DIVISLAB.NS, DMART.NS, DRREDDY.NS, GLAXO.NS, HAPPSTMNDS.NS, HAVELLS.NS, HCLTECH.NS, HDFCAMC.NS, HDFCLIFE.NS, HEG.NS, INFIBEAM.NS, LALPATHLAB.NS, MGL.NS, OFSS.NS, ORIENTELEC.NS, PFIZER.NS, PNBHOUSING.NS, QUESS.NS, RAMCOCEM.NS, RELAXO.NS, SHREECEM.NS, TECHM.NS, VAIBHAVGBL.NS, VGUARD.NS, WIPRO.NS, ZENSARTECH.NS, ZYDUSLIFE.NS, ZYDUSWELL.NS",30
01-03-2022,"3MINDIA.NS, AARTIDRUGS.NS, AEGISCHEM.NS, AMBUJACEM.NS, APOLLOTYRE.NS, BAYERCROP.NS, BCG.NS, BIRLACORPN.NS, BSE.NS, CASTROLIND.NS, CEATLTD.NS, CENTRALBK.NS, COCHINSHIP.NS, CUB.NS, CYIENT.NS, DALBHARAT.NS, DRREDDY.NS, FINCABLES.NS, FINPIPE.NS, GICRE.NS, GODREJCP.NS, GODREJIND.NS, GPPL.NS, GUJGASLTD.NS, HAPPSTMNDS.NS, HDFCAMC.NS, HINDUNILVR.NS, HUDCO.NS, ICICIPRULI.NS, INDIAMART.NS, INDUSTOWER.NS, IRCON.NS, ITI.NS, JBMA.NS, JKCEMENT.NS, JUBLFOOD.NS, KRBL.NS, LUPIN.NS, LUXIND.NS, MCX.NS, MGL.NS, NAM-INDIA.NS, NESTLEIND.NS, NIACL.NS, OLECTRA.NS, PEL.NS, PGHL.NS, RALLIS.NS, RAMCOCEM.NS, RITES.NS, SAREGAMA.NS, SBILIFE.NS, STLTECH.NS, SUNTV.NS, SUPRAJIT.NS, SWSOLAR.NS, TTKPRESTIG.NS, TTML.NS, ULTRACEMCO.NS, UPL.NS, VAIBHAVGBL.NS, VGUARD.NS, WELCORP.NS, WELSPUNLIV.NS, ZEEL.NS, ZYDUSLIFE.NS",66
01-04-2022,"3MINDIA.NS, AARTIDRUGS.NS, AIAENG.NS, BBTC.NS, CAMS.NS, CEATLTD.NS, CIEINDIA.NS, ELGIEQUIP.NS, EMAMILTD.NS, ESCORTS.NS, FINCABLES.NS, GILLETTE.NS, GODREJIND.NS, GUJGASLTD.NS, HUDCO.NS, INDIAMART.NS, IRCON.NS, JKCEMENT.NS, JUBLFOOD.NS, JUBLPHARMA.NS, JUSTDIAL.NS, LUXIND.NS, MAHABANK.NS, MANAPPURAM.NS, MFSL.NS, MRF.NS, NATCOPHARM.NS, NBCC.NS, NCC.NS, NIACL.NS, PETRONET.NS, PNBHOUSING.NS, RELAXO.NS, ROSSARI.NS, SOBHA.NS, VAIBHAVGBL.NS, VTL.NS, WHIRLPOOL.NS, ZYDUSLIFE.NS",39
01-05-2022,"AAVAS.NS, AJANTPHARM.NS, ALKEM.NS, ATUL.NS, AUROPHARMA.NS, BAJAJFINSV.NS, BRIGADE.NS, CERA.NS, DELTACORP.NS, GRANULES.NS, GUJGASLTD.NS, HAPPSTMNDS.NS, HEG.NS, IGL.NS, INFIBEAM.NS, JSL.NS, MPHASIS.NS, NATIONALUM.NS, RAIN.NS, RAJESHEXPO.NS, RALLIS.NS, RBLBANK.NS, SAREGAMA.NS, SOBHA.NS, TATACOMM.NS, TV18BRDCST.NS, UNIONBANK.NS, VTL.NS, ZEEL.NS, ZENSARTECH.NS",30
01-06-2022,"AARTIIND.NS, ADANIGREEN.NS, ALKYLAMINE.NS, AMBER.NS, ASIANPAINT.NS, ASTRAL.NS, ATUL.NS, BAJAJFINSV.NS, BERGEPAINT.NS, BIRLACORPN.NS, BPCL.NS, BSOFT.NS, CANFINHOME.NS, CHAMBLFERT.NS, CSBBANK.NS, DALBHARAT.NS, ECLERX.NS, EMAMILTD.NS, FDC.NS, FORTIS.NS, GLAND.NS, GLENMARK.NS, GMMPFAUDLR.NS, GPIL.NS, GRAPHITE.NS, GRASIM.NS, HAPPSTMNDS.NS, HFCL.NS, HINDALCO.NS, IBULHSGFIN.NS, IDBI.NS, IDFC.NS, INDIACEM.NS, INFIBEAM.NS, IOC.NS, JBMA.NS, JUBLPHARMA.NS, JUSTDIAL.NS, LALPATHLAB.NS, LINDEINDIA.NS, LTIM.NS, LTTS.NS, LUXIND.NS, MANAPPURAM.NS, MOTILALOFS.NS, MUTHOOTFIN.NS, NATCOPHARM.NS, NATIONALUM.NS, NIACL.NS, OBEROIRLTY.NS, PNBHOUSING.NS, PRSMJOHNSN.NS, REDINGTON.NS, RELAXO.NS, RITES.NS, ROSSARI.NS, SHREECEM.NS, SOBHA.NS, SPARC.NS, SUNPHARMA.NS, SUVENPHAR.NS, SYMPHONY.NS, TATACOMM.NS, TATASTEEL.NS, TEAMLEASE.NS, TIINDIA.NS, TRITURBINE.NS, VIPIND.NS, VOLTAS.NS, WIPRO.NS",70
01-07-2022,"ABCAPITAL.NS, ALKYLAMINE.NS, ALLCARGO.NS, BANDHANBNK.NS, BERGEPAINT.NS, BLUESTARCO.NS, BSE.NS, CANFINHOME.NS, DEEPAKNTR.NS, DELTACORP.NS, EQUITASBNK.NS, ESCORTS.NS, FACT.NS, GPIL.NS, GSPL.NS, GUJGASLTD.NS, HFCL.NS, HINDALCO.NS, HINDZINC.NS, IBULHSGFIN.NS, IEX.NS, INDIAMART.NS, INDUSINDBK.NS, IRCON.NS, IRCTC.NS, ISEC.NS, JINDALSTEL.NS, JSL.NS, JSWENERGY.NS, JUBLPHARMA.NS, JUSTDIAL.NS, KANSAINER.NS, KPRMILL.NS, LAURUSLABS.NS, LTTS.NS, LUXIND.NS, MANAPPURAM.NS, MUTHOOTFIN.NS, NBCC.NS, NCC.NS, NMDC.NS, OBEROIRLTY.NS, RALLIS.NS, RBLBANK.NS, SAIL.NS, SFL.NS, SHREECEM.NS, SUZLON.NS, SYMPHONY.NS, TANLA.NS, TATACHEM.NS, TATASTEEL.NS, TECHM.NS, TITAN.NS, TRIDENT.NS, UPL.NS, VARROC.NS, VTL.NS, WIPRO.NS",59
01-08-2022,"ALOKINDS.NS, APLLTD.NS, BEML.NS, BIOCON.NS, CRISIL.NS, DRREDDY.NS, FINPIPE.NS, GUJGASLTD.NS, IEX.NS, IGL.NS, INTELLECT.NS, MCDOWELL-N.NS, MOTILALOFS.NS, NETWORK18.NS, NIACL.NS, OIL.NS, ORIENTELEC.NS, SANOFI.NS, STLTECH.NS, SUZLON.NS, SWSOLAR.NS, TTML.NS, TV18BRDCST.NS, VAIBHAVGBL.NS, ZENSARTECH.NS",25
01-09-2022,"APLLTD.NS, BALKRISIND.NS, BORORENEW.NS, GAEL.NS, INTELLECT.NS, IPCALAB.NS, MASTEK.NS, MPHASIS.NS, NATCOPHARM.NS, SANOFI.NS, SHARDACROP.NS, TANLA.NS, ZENSARTECH.NS",13
01-10-2022,"AARTIIND.NS, AUROPHARMA.NS, BALAMINES.NS, BALKRISIND.NS, BAYERCROP.NS, BERGEPAINT.NS, BOSCHLTD.NS, BPCL.NS, BSE.NS, CENTURYTEX.NS, CYIENT.NS, GALAXYSURF.NS, GLAND.NS, GNFC.NS, GODREJIND.NS, GODREJPROP.NS, HDFCAMC.NS, HEG.NS, HINDPETRO.NS, ICICIGI.NS, KPRMILL.NS, LUXIND.NS, M&MFIN.NS, MFSL.NS, MINDACORP.NS, MOTILALOFS.NS, NAUKRI.NS, OFSS.NS, PIIND.NS, POLYPLEX.NS, RAIN.NS, RALLIS.NS, RELIANCE.NS, SAREGAMA.NS, SHRIRAMFIN.NS, TATAMOTORS.NS, TCS.NS, TECHM.NS, THERMAX.NS, UPL.NS, USHAMART.NS, UTIAMC.NS, VOLTAS.NS, WHIRLPOOL.NS, WIPRO.NS",45
01-11-2022,"AARTIIND.NS, AMBER.NS, ATUL.NS, AVANTIFEED.NS, BALAMINES.NS, BALRAMCHIN.NS, BANDHANBNK.NS, BERGEPAINT.NS, BSOFT.NS, CENTURYPLY.NS, CROMPTON.NS, CYIENT.NS, EPL.NS, GSFC.NS, JINDALSAW.NS, LAURUSLABS.NS, MAHLIFE.NS, MFSL.NS, MOTHERSON.NS, MOTILALOFS.NS, MPHASIS.NS, OLECTRA.NS, PEL.NS, POWERINDIA.NS, QUESS.NS, SANOFI.NS, SBICARD.NS, SCHAEFFLER.NS, SUNTECK.NS, SUVENPHAR.NS, TEAMLEASE.NS, TV18BRDCST.NS, VINATIORGA.NS",33
01-12-2022,"AMBER.NS, ASTRAL.NS, AUROPHARMA.NS, AVANTIFEED.NS, BAJFINANCE.NS, CAMS.NS, CENTURYPLY.NS, CHOLAHLDNG.NS, DCMSHRIRAM.NS, GAEL.NS, GRINDWELL.NS, JUBLFOOD.NS, LAURUSLABS.NS, MOTILALOFS.NS, NATCOPHARM.NS, OLECTRA.NS, POWERINDIA.NS, SCHAEFFLER.NS, SFL.NS, TEAMLEASE.NS, THERMAX.NS, VOLTAS.NS",22
01-01-2023,"3MINDIA.NS, AAVAS.NS, ABFRL.NS, ADANIPORTS.NS, AFFLE.NS, ALKEM.NS, ALKYLAMINE.NS, AMBER.NS, ANGELONE.NS, APLLTD.NS, ASAHIINDIA.NS, AUROPHARMA.NS, AVANTIFEED.NS, BALAMINES.NS, BATAINDIA.NS, BCG.NS, BERGEPAINT.NS, BIOCON.NS, BSE.NS, CENTURYPLY.NS, CENTURYTEX.NS, CIPLA.NS, COLPAL.NS, COROMANDEL.NS, CROMPTON.NS, DEEPAKFERT.NS, DEEPAKNTR.NS, DIXON.NS, DRREDDY.NS, ELGIEQUIP.NS, ENDURANCE.NS, ERIS.NS, FDC.NS, GMMPFAUDLR.NS, GNFC.NS, GRANULES.NS, HAPPSTMNDS.NS, ICICIPRULI.NS, INGERRAND.NS, IRCTC.NS, JUBLFOOD.NS, KOTAKBANK.NS, LALPATHLAB.NS, LAXMIMACH.NS, MAHLIFE.NS, MARUTI.NS, METROPOLIS.NS, NAM-INDIA.NS, NAVINFLUOR.NS, PAGEIND.NS, PGHL.NS, PIDILITIND.NS, POLYPLEX.NS, PRAJIND.NS, PRSMJOHNSN.NS, ROSSARI.NS, ROUTE.NS, RTNINDIA.NS, SKFINDIA.NS, SPARC.NS, SWSOLAR.NS, TATACHEM.NS, TATACONSUM.NS, TATAELXSI.NS, TATAMOTORS.NS, TATAPOWER.NS, TIMKEN.NS, TORNTPHARM.NS, TORNTPOWER.NS, TRENT.NS, TTKPRESTIG.NS, UNOMINDA.NS, UPL.NS, VAIBHAVGBL.NS, VIPIND.NS, VOLTAS.NS, ZEEL.NS, ZFCVINDIA.NS, ZYDUSWELL.NS",79
