Date,Stocks,Number_of_Stocks
01-04-2018,"AARTIDRUGS.NS, ACC.NS, ADANIPORTS.NS, ALKEM.NS, AUROPHARMA.NS, BAJAJ-AUTO.NS, BANKINDIA.NS, BBTC.NS, BEL.NS, BEML.NS, BHEL.NS, BIRLACORPN.NS, CIPLA.NS, DCMSHRIRAM.NS, DEEPAKFERT.NS, DELTACORP.NS, DLF.NS, ECLERX.NS, EPL.NS, FORTIS.NS, GNFC.NS, GRANULES.NS, GRASIM.NS, GSFC.NS, HINDCOPPER.NS, ICICIBANK.NS, IDEA.NS, IDFCFIRSTB.NS, IGL.NS, JBMA.NS, JSL.NS, JSWENERGY.NS, KPRMILL.NS, KRBL.NS, LINDEINDIA.NS, LUPIN.NS, MCX.NS, NH.NS, PERSISTENT.NS, PFC.NS, PNB.NS, RATNAMANI.NS, SIEMENS.NS, SPARC.NS, SUZLON.NS, TATAINVEST.NS, TATAMOTORS.NS, TATAPOWER.NS, TATASTEEL.NS, TIMKEN.NS, TORNTPHARM.NS, TORNTPOWER.NS, TRITURBINE.NS, UBL.NS, UNIONBANK.NS, VTL.NS, WELCORP.NS, WELSPUNLIV.NS",58
01-05-2018,"BALRAMCHIN.NS, BEL.NS, BLUEDART.NS, CANFINHOME.NS, COROMANDEL.NS, GSPL.NS, HINDPETRO.NS, INDUSTOWER.NS, MAHABANK.NS, MGL.NS, MOTILALOFS.NS, RAIN.NS, RAJESHEXPO.NS, TIMKEN.NS, TTKPRESTIG.NS",15
01-06-2018,"AARTIDRUGS.NS, ACC.NS, ADANIPOWER.NS, ALLCARGO.NS, ALOKINDS.NS, APARINDS.NS, APLAPOLLO.NS, APOLLOHOSP.NS, BEL.NS, BEML.NS, BHARATFORG.NS, BLUESTARCO.NS, CEATLTD.NS, CENTURYPLY.NS, CERA.NS, CIPLA.NS, CUMMINSIND.NS, DCMSHRIRAM.NS, DIVISLAB.NS, EIDPARRY.NS, FINPIPE.NS, GAEL.NS, GODFRYPHLP.NS, IDFCFIRSTB.NS, INDUSTOWER.NS, IOB.NS, KEC.NS, KPRMILL.NS, LICHSGFIN.NS, MGL.NS, MUTHOOTFIN.NS, NAVINFLUOR.NS, NBCC.NS, NETWORK18.NS, POLYMED.NS, RAIN.NS, RAJESHEXPO.NS, RTNINDIA.NS, SUZLON.NS, SYMPHONY.NS, TANLA.NS, TATAMTRDVR.NS, VEDL.NS, VOLTAS.NS, WIPRO.NS",45
01-07-2018,"ADANIENT.NS, AJANTPHARM.NS, ALLCARGO.NS, APOLLOTYRE.NS, BALKRISIND.NS, BANKINDIA.NS, BEL.NS, BHEL.NS, CANFINHOME.NS, CARBORUNIV.NS, CASTROLIND.NS, CENTURYPLY.NS, CENTURYTEX.NS, CESC.NS, CGCL.NS, CHAMBLFERT.NS, CHOLAHLDNG.NS, COROMANDEL.NS, DEEPAKFERT.NS, DLF.NS, ENGINERSIN.NS, EPL.NS, FINPIPE.NS, GILLETTE.NS, GMRINFRA.NS, GNFC.NS, GSFC.NS, HEROMOTOCO.NS, HINDCOPPER.NS, HINDZINC.NS, ICICIPRULI.NS, IDFC.NS, IDFCFIRSTB.NS, INDIGO.NS, IOC.NS, IRB.NS, ITI.NS, JBCHEPHARM.NS, JINDALSAW.NS, JMFINANCIL.NS, JSL.NS, JSWENERGY.NS, JUBLPHARMA.NS, L&TFH.NS, LICHSGFIN.NS, MAHABANK.NS, MANAPPURAM.NS, MFSL.NS, MOTHERSON.NS, NCC.NS, ONGC.NS, PNB.NS, PRAJIND.NS, RAIN.NS, RAJESHEXPO.NS, RAMCOCEM.NS, RAYMOND.NS, RECLTD.NS, RTNINDIA.NS, SAREGAMA.NS, SJVN.NS, SKFINDIA.NS, SRF.NS, STLTECH.NS, SUNDARMFIN.NS, SUNTECK.NS, TATAPOWER.NS, TTML.NS, TVSMOTOR.NS, UNIONBANK.NS, VEDL.NS, WELCORP.NS",72
01-08-2018,"APARINDS.NS, APLAPOLLO.NS, ASHOKLEY.NS, BRIGADE.NS, EPL.NS, JKCEMENT.NS, JSL.NS, KAJARIACER.NS, QUESS.NS, RAJESHEXPO.NS, RATNAMANI.NS, RAYMOND.NS, SAREGAMA.NS, SJVN.NS, SUNDARMFIN.NS, TATAMTRDVR.NS, TVSMOTOR.NS, ZFCVINDIA.NS",18
01-09-2018,"AEGISCHEM.NS, APOLLOTYRE.NS, BSE.NS, CENTURYPLY.NS, HINDPETRO.NS, IDEA.NS, INDIGO.NS, LAXMIMACH.NS, LINDEINDIA.NS, LUXIND.NS, OBEROIRLTY.NS, PRESTIGE.NS, QUESS.NS, SAREGAMA.NS, SYMPHONY.NS, TATACOMM.NS, YESBANK.NS, ZEEL.NS",18
01-10-2018,"3MINDIA.NS, AARTIIND.NS, ADANIPOWER.NS, AEGISCHEM.NS, ALLCARGO.NS, ASTRAL.NS, AVANTIFEED.NS, BAJAJFINSV.NS, BHARTIARTL.NS, BIRLACORPN.NS, BLS.NS, CENTURYTEX.NS, CHOLAHLDNG.NS, COFORGE.NS, DELTACORP.NS, DLF.NS, EMAMILTD.NS, EPL.NS, FDC.NS, FSL.NS, GAEL.NS, GLAXO.NS, GNFC.NS, GODREJCP.NS, GODREJPROP.NS, GPPL.NS, GRAPHITE.NS, HFCL.NS, ICICIPRULI.NS, IGL.NS, INDIGO.NS, INTELLECT.NS, IOB.NS, IPCALAB.NS, JINDALSAW.NS, JSL.NS, JSWENERGY.NS, JUSTDIAL.NS, KOTAKBANK.NS, KPRMILL.NS, KRBL.NS, LUXIND.NS, M&M.NS, M&MFIN.NS, MAHLIFE.NS, MASTEK.NS, MCX.NS, MFSL.NS, MOTHERSON.NS, NATIONALUM.NS, NHPC.NS, NLCINDIA.NS, OBEROIRLTY.NS, PATANJALI.NS, PCBL.NS, PHOENIXLTD.NS, PNCINFRA.NS, QUESS.NS, RADICO.NS, RAIN.NS, RBLBANK.NS, RCF.NS, SAIL.NS, SHARDACROP.NS, SHOPERSTOP.NS, SHRIRAMFIN.NS, SOBHA.NS, SOLARINDS.NS, SPARC.NS, SRF.NS, STLTECH.NS, SUNDRMFAST.NS, SUNTECK.NS, TATACOMM.NS, TRENT.NS, TTML.NS, UCOBANK.NS, VOLTAS.NS, WELCORP.NS, ZYDUSWELL.NS",80
01-11-2018,"3MINDIA.NS, ACC.NS, ALKEM.NS, APARINDS.NS, APLAPOLLO.NS, ASAHIINDIA.NS, BAYERCROP.NS, BHARTIARTL.NS, BIRLACORPN.NS, BLUEDART.NS, CESC.NS, CHOLAHLDNG.NS, CRISIL.NS, CYIENT.NS, EICHERMOT.NS, GODREJIND.NS, GPIL.NS, GRASIM.NS, HDFCBANK.NS, HEROMOTOCO.NS, INDUSINDBK.NS, JKLAKSHMI.NS, JUBLFOOD.NS, KANSAINER.NS, LALPATHLAB.NS, LAXMIMACH.NS, MARUTI.NS, MPHASIS.NS, OFSS.NS, PATANJALI.NS, PNBHOUSING.NS, QUESS.NS, RAJESHEXPO.NS, REDINGTON.NS, RTNINDIA.NS, SANOFI.NS, SFL.NS, SHREECEM.NS, SPARC.NS, SUNTECK.NS, SYMPHONY.NS, TATAINVEST.NS, TATAMOTORS.NS, ULTRACEMCO.NS, UNOMINDA.NS, YESBANK.NS, ZYDUSWELL.NS",47
01-12-2018,"ASAHIINDIA.NS, AVANTIFEED.NS, BSE.NS, COALINDIA.NS, CYIENT.NS, DEEPAKFERT.NS, DIXON.NS, FDC.NS, GPIL.NS, HFCL.NS, INFIBEAM.NS, JINDALSTEL.NS, JSWSTEEL.NS, KRBL.NS, MAHLIFE.NS, MHRIL.NS, NBCC.NS, NETWORK18.NS, NMDC.NS, OIL.NS, ONGC.NS, QUESS.NS, RAIN.NS, RALLIS.NS, RECLTD.NS, RENUKA.NS, SHARDACROP.NS, SPARC.NS, SUNDRMFAST.NS, SUNPHARMA.NS, SUPRAJIT.NS, SUZLON.NS, SYNGENE.NS, TATAMOTORS.NS, TATAMTRDVR.NS, TEJASNET.NS, YESBANK.NS",37
01-01-2019,"FSL.NS, JSL.NS, KRBL.NS, NH.NS, RENUKA.NS",5
01-02-2019,"ADANIENT.NS, AEGISCHEM.NS, BSOFT.NS, CDSL.NS, CENTRALBK.NS, CENTURYPLY.NS, CGPOWER.NS, COALINDIA.NS, FDC.NS, GMRINFRA.NS, GPPL.NS, GSFC.NS, HINDCOPPER.NS, IDBI.NS, INFIBEAM.NS, IOB.NS, JAMNAAUTO.NS, JINDALSTEL.NS, JKPAPER.NS, JMFINANCIL.NS, KPRMILL.NS, MMTC.NS, MOTHERSON.NS, MRPL.NS, NATIONALUM.NS, NETWORK18.NS, NIACL.NS, OIL.NS, POONAWALLA.NS, RENUKA.NS, SAIL.NS, SJVN.NS, TRIVENI.NS, TTML.NS, TV18BRDCST.NS, VAIBHAVGBL.NS",36
01-03-2019,"BANKBARODA.NS, BIRLACORPN.NS, BSOFT.NS, CONCOR.NS, FACT.NS, FINPIPE.NS, GESHIP.NS, GICRE.NS, GNFC.NS, GSFC.NS, GSPL.NS, GUJALKALI.NS, IDBI.NS, IEX.NS, IIFL.NS, KSB.NS, LAURUSLABS.NS, LUXIND.NS, MARICO.NS, MCX.NS, MOTILALOFS.NS, NATIONALUM.NS, NETWORK18.NS, NLCINDIA.NS, PNCINFRA.NS, POLYMED.NS, RADICO.NS, RAIN.NS, RALLIS.NS, RCF.NS, RTNINDIA.NS, SHOPERSTOP.NS, SJVN.NS, SOLARINDS.NS, TATAPOWER.NS, THERMAX.NS, TVSMOTOR.NS, VAIBHAVGBL.NS, VINATIORGA.NS, VIPIND.NS, ZENSARTECH.NS",41
