Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-21 09:15:00+05:30,8075.0,8075.0,7925.9501953125,7988.75,7988.75,0
2024-05-21 09:20:00+05:30,7973.64990234375,7973.64990234375,7927.0,7927.0,7927.0,3923
2024-05-21 09:25:00+05:30,7929.5,7939.60009765625,7908.0,7936.9501953125,7936.9501953125,2387
2024-05-21 09:30:00+05:30,7939.7998046875,7947.60009765625,7883.0,7898.39990234375,7898.39990234375,3441
2024-05-21 09:35:00+05:30,7897.10009765625,7914.0,7895.0,7914.0,7914.0,1895
2024-05-21 09:40:00+05:30,7906.5498046875,7919.7998046875,7904.35009765625,7909.0,7909.0,1327
2024-05-21 09:45:00+05:30,7910.0,7919.0,7884.89990234375,7892.14990234375,7892.14990234375,1357
2024-05-21 09:50:00+05:30,7899.0,7907.60009765625,7883.0,7893.14990234375,7893.14990234375,1610
2024-05-21 09:55:00+05:30,7893.14990234375,7905.0,7886.64990234375,7899.9501953125,7899.9501953125,786
2024-05-21 10:00:00+05:30,7899.9501953125,7906.5,7882.0498046875,7900.2001953125,7900.2001953125,1351
2024-05-21 10:05:00+05:30,7900.0,7912.5498046875,7890.2998046875,7897.85009765625,7897.85009765625,533
2024-05-21 10:10:00+05:30,7897.0498046875,7914.7998046875,7893.5498046875,7898.64990234375,7898.64990234375,885
2024-05-21 10:15:00+05:30,7893.85009765625,7904.7998046875,7890.0,7891.25,7891.25,648
2024-05-21 10:20:00+05:30,7892.5,7914.9501953125,7892.25,7907.25,7907.25,690
2024-05-21 10:25:00+05:30,7906.75,7913.14990234375,7890.0498046875,7894.7001953125,7894.7001953125,652
2024-05-21 10:30:00+05:30,7897.0,7908.85009765625,7893.4501953125,7902.9501953125,7902.9501953125,522
2024-05-21 10:35:00+05:30,7900.64990234375,7924.0498046875,7900.0,7923.0,7923.0,884
2024-05-21 10:40:00+05:30,7920.0498046875,7923.0,7890.0,7896.0498046875,7896.0498046875,1537
2024-05-21 10:45:00+05:30,7896.0498046875,7909.2998046875,7891.2001953125,7904.89990234375,7904.89990234375,880
2024-05-21 10:50:00+05:30,7905.0,7908.0,7891.85009765625,7891.85009765625,7891.85009765625,378
2024-05-21 10:55:00+05:30,7891.10009765625,7902.9501953125,7891.10009765625,7893.64990234375,7893.64990234375,358
2024-05-21 11:00:00+05:30,7900.0,7900.0,7890.0,7890.0,7890.0,315
2024-05-21 11:05:00+05:30,7890.0,7905.0,7889.0,7899.0,7899.0,421
2024-05-21 11:10:00+05:30,7900.0498046875,7903.35009765625,7890.60009765625,7892.4501953125,7892.4501953125,426
2024-05-21 11:15:00+05:30,7899.5,7904.35009765625,7890.0,7890.89990234375,7890.89990234375,636
2024-05-21 11:20:00+05:30,7890.2001953125,7896.89990234375,7890.0,7890.0498046875,7890.0498046875,440
2024-05-21 11:25:00+05:30,7890.4501953125,7900.25,7890.4501953125,7893.25,7893.25,320
2024-05-21 11:30:00+05:30,7899.0,7908.35009765625,7893.25,7905.0,7905.0,828
2024-05-21 11:35:00+05:30,7905.0,7910.7001953125,7902.5,7910.0,7910.0,502
2024-05-21 11:40:00+05:30,7904.9501953125,7929.7001953125,7903.75,7919.85009765625,7919.85009765625,1410
2024-05-21 11:45:00+05:30,7919.85009765625,7944.60009765625,7919.64990234375,7941.2998046875,7941.2998046875,22269
2024-05-21 11:50:00+05:30,7940.89990234375,7982.89990234375,7921.25,7967.5,7967.5,26112
2024-05-21 11:55:00+05:30,7961.2998046875,7972.0,7915.0,7923.85009765625,7923.85009765625,1632
2024-05-21 12:00:00+05:30,7923.35009765625,7929.35009765625,7920.0,7921.0498046875,7921.0498046875,762
