Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,,Total Amount Invested: $ 61380000,,,,
01-04-2017,30-04-2017,AARTIIND.NS,11.18429357,191.8439484,213.3003387,11118.42936,1118.429357,,Total Amount Returned: $ 62268388.40901802,,,,
01-04-2017,30-04-2017,AJANTPHARM.NS,-5.385668597,1164.199951,1101.5,9461.43314,-538.5668597,,Percentage Return:  1.4473581117921428 %,,,,
01-04-2017,30-04-2017,AUROPHARMA.NS,-11.15748017,682.9500122,606.75,8884.251983,-1115.748017,,,,,,
01-04-2017,30-04-2017,AXISBANK.NS,1.807828143,500.6000061,509.6499939,10180.78281,180.7828143,,,,,,
01-04-2017,30-04-2017,BAJAJ-AUTO.NS,2.888342417,2783.600098,2864,10288.83424,288.8342417,,,,,,
01-04-2017,30-04-2017,BALRAMCHIN.NS,8.819579717,149.1000061,162.25,10881.95797,881.9579717,,,,,,
01-04-2017,30-04-2017,CHOLAFIN.NS,14.2534201,194.6199951,222.3600006,11425.34201,1425.34201,,,,,,
01-04-2017,30-04-2017,COALINDIA.NS,-6.220341052,295,276.6499939,9377.965895,-622.0341052,,,,,,
01-04-2017,30-04-2017,COROMANDEL.NS,13.01392457,308.8999939,349.1000061,11301.39246,1301.392457,,,,,,
01-04-2017,30-04-2017,CYIENT.NS,17.68561668,465.3500061,547.6500244,11768.56167,1768.561668,,,,,,
01-04-2017,30-04-2017,ENGINERSIN.NS,15.27536326,144.3500061,166.3999939,11527.53633,1527.536326,,,,,,
01-04-2017,30-04-2017,EPL.NS,7.766589209,119.0999985,128.3500061,10776.65892,776.6589209,,,,,,
01-04-2017,30-04-2017,FORTIS.NS,16.37612229,189.3000031,220.3000031,11637.61223,1637.612229,,,,,,
01-04-2017,30-04-2017,HEROMOTOCO.NS,3.636625357,3202.149902,3318.600098,10363.66254,363.6625357,,,,,,
01-04-2017,30-04-2017,HINDCOPPER.NS,-1.869857933,66.84999847,65.59999847,9813.014207,-186.9857933,,,,,,
01-04-2017,30-04-2017,ICICIBANK.NS,-2.860126278,260.6363525,253.1818237,9713.987372,-286.0126278,,,,,,
01-04-2017,30-04-2017,IDBI.NS,2.898546646,75.90000153,78.09999847,10289.85466,289.8546646,,,,,,
01-04-2017,30-04-2017,JUSTDIAL.NS,-7.773490553,544.7999878,502.4500122,9222.650945,-777.3490553,,,,,,
01-04-2017,30-04-2017,JYOTHYLAB.NS,16.38056031,171.8500061,200,11638.05603,1638.056031,,,,,,
01-04-2017,30-04-2017,LALPATHLAB.NS,-1.336211293,972.9000244,959.9000244,9866.378871,-133.6211293,,,,,,
01-04-2017,30-04-2017,LUPIN.NS,-6.709187344,1434.599976,1338.349976,9329.081266,-670.9187344,,,,,,
01-04-2017,30-04-2017,M&M.NS,3.81267383,643.25,667.7750244,10381.26738,381.267383,,,,,,
01-04-2017,30-04-2017,MASTEK.NS,53.93972049,180.8500061,278.3999939,15393.97205,5393.972049,,,,,,
01-04-2017,30-04-2017,MCDOWELL-N.NS,-8.349413265,409.3699951,375.1900024,9165.058673,-834.9413265,,,,,,
01-04-2017,30-04-2017,MMTC.NS,4.856696001,41.86666489,43.90000153,10485.6696,485.6696001,,,,,,
01-04-2017,30-04-2017,MPHASIS.NS,-6.478901784,573.4000244,536.25,9352.109822,-647.8901784,,,,,,
01-04-2017,30-04-2017,NBCC.NS,15.26254846,86.65000153,99.875,11526.25485,1526.254846,,,,,,
01-04-2017,30-04-2017,NCC.NS,14.24296046,83.55000305,95.44999695,11424.29605,1424.296046,,,,,,
01-04-2017,30-04-2017,NETWORK18.NS,23.09613028,40.04999924,49.29999924,12309.61303,2309.613028,,,,,,
01-04-2017,30-04-2017,NH.NS,1.930992789,315.8999939,322,10193.09928,193.0992789,,,,,,
01-04-2017,30-04-2017,NMDC.NS,-4.67289782,102.8059311,98.00191498,9532.710218,-467.289782,,,,,,
01-04-2017,30-04-2017,PIIND.NS,5.148033303,827.5,870.0999756,10514.80333,514.8033303,,,,,,
01-04-2017,30-04-2017,PRAJIND.NS,7.658771685,80.30000305,86.44999695,10765.87717,765.8771685,,,,,,
01-04-2017,30-04-2017,RHIM.NS,2.877700086,132.0500031,135.8500061,10287.77001,287.7700086,,,,,,
01-04-2017,30-04-2017,SPARC.NS,-5.325180625,335.2000122,317.3500061,9467.481938,-532.5180625,,,,,,
01-04-2017,30-04-2017,SYNGENE.NS,-0.749128613,260.2999878,258.3500061,9925.087139,-74.91286135,,,,,,
01-04-2017,30-04-2017,TATACOMM.NS,-1.522808599,454.6227722,447.6997375,9847.71914,-152.2808599,,,,,,
01-04-2017,30-04-2017,TATAELXSI.NS,1.490087835,744.9249878,756.0250244,10149.00878,149.0087835,,,,,,
01-04-2017,30-04-2017,TATAMOTORS.NS,-2.444727923,470.3999939,458.8999939,9755.527208,-244.4727923,,,,,,
01-04-2017,30-04-2017,TATAMTRDVR.NS,-0.426746855,281.2000122,280,9957.325315,-42.67468545,,,,,,
01-04-2017,30-04-2017,TCS.NS,-5.74491237,1205.849976,1136.574951,9425.508763,-574.491237,,,,,,
01-04-2017,30-04-2017,UBL.NS,0.562310412,764.7000122,769,10056.23104,56.23104125,,,,,,
01-04-2017,30-04-2017,USHAMART.NS,13.29640791,18.04999924,20.45000076,11329.64079,1329.640791,,,,,,
01-04-2017,30-04-2017,WELCORP.NS,-1.017962244,83.5,82.65000153,9898.203776,-101.7962244,,,,,,
01-05-2017,31-05-2017,3MINDIA.NS,23.30633357,11370.2998,14020.2998,12330.63336,2330.633357,,,,,,
01-05-2017,31-05-2017,ADANIENT.NS,4.56761919,61.43761444,64.24385071,10456.76192,456.761919,,,,,,
01-05-2017,31-05-2017,AIAENG.NS,-6.42439974,1541,1442,9357.560026,-642.439974,,,,,,
01-05-2017,31-05-2017,ALOKINDS.NS,3.389827221,2.950000048,3.049999952,10338.98272,338.9827221,,,,,,
01-05-2017,31-05-2017,ASAHIINDIA.NS,10.40662063,217.6499939,240.3000031,11040.66206,1040.662063,,,,,,
01-05-2017,31-05-2017,ASHOKLEY.NS,12.07411631,83.65000153,93.75,11207.41163,1207.411631,,,,,,
01-05-2017,31-05-2017,BIOCON.NS,-13.26830629,181.1333313,157.1000061,8673.169371,-1326.830629,,,,,,
01-05-2017,31-05-2017,CRISIL.NS,-4.568314694,1938.349976,1849.800049,9543.168531,-456.8314694,,,,,,
01-05-2017,31-05-2017,DELTACORP.NS,-6.600563218,161.3500061,150.6999969,9339.943678,-660.0563218,,,,,,
01-05-2017,31-05-2017,GPIL.NS,1.189246703,24.17499924,24.46249962,10118.92467,118.9246703,,,,,,
01-05-2017,31-05-2017,GPPL.NS,-9.356544906,160.8500061,145.8000031,9064.345509,-935.6544906,,,,,,
01-05-2017,31-05-2017,HINDCOPPER.NS,-4.337897422,65.69999695,62.84999847,9566.210258,-433.7897422,,,,,,
01-05-2017,31-05-2017,ICICIBANK.NS,16.61828894,250.5454559,292.1818237,11661.82889,1661.828894,,,,,,
