Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,
01-04-2017,30-04-2017,APOLLOHOSP.NS,5.154327136,1172.800049,1233.25,10515.43271,515.4327136,Total Amount Invested: $ 27380000
01-04-2017,30-04-2017,BAYERCROP.NS,19.99022496,3786.350098,4543.25,11999.0225,1999.022496,Total Amount Returned: $ 27622585.431043174
01-04-2017,30-04-2017,CRISIL.NS,1.519925352,1937.599976,1967.050049,10151.99254,151.9925352,Percentage Return:  0.8859950001576848 %
01-04-2017,30-04-2017,FDC.NS,-3.923925862,207.6999969,199.5500031,9607.607414,-392.3925862,
01-04-2017,30-04-2017,GLENMARK.NS,4.336929432,857.75,894.9500122,10433.69294,433.6929432,
01-04-2017,30-04-2017,NAUKRI.NS,1.877700777,820.1500244,835.5499878,10187.77008,187.7700777,
01-04-2017,30-04-2017,ONGC.NS,0.403659843,185.8000031,186.5500031,10040.36598,40.36598427,
01-04-2017,30-04-2017,PERSISTENT.NS,-0.458873572,588.4000244,585.7000122,9954.112643,-45.88735716,
01-04-2017,30-04-2017,SWANENERGY.NS,10.32896372,141.3500061,155.9499969,11032.89637,1032.896372,
01-04-2017,30-04-2017,TANLA.NS,-1.669945508,50.90000153,50.04999924,9833.005449,-166.9945508,
01-04-2017,30-04-2017,TECHM.NS,-7.978369766,453.1000061,416.9500122,9202.163023,-797.8369766,
01-05-2017,31-05-2017,ABBOTINDIA.NS,-2.491683966,4256.149902,4150.100098,9750.831603,-249.1683966,
01-05-2017,31-05-2017,AJANTPHARM.NS,-6.226351116,1101.233276,1032.666626,9377.364888,-622.6351116,
01-05-2017,31-05-2017,AUROPHARMA.NS,-2.764745365,596.7999878,580.2999878,9723.525464,-276.4745365,
01-05-2017,31-05-2017,CIPLA.NS,-8.075984074,555.3499756,510.5,9192.401593,-807.5984074,
01-05-2017,31-05-2017,DIVISLAB.NS,-6.182688472,626.75,588,9381.731153,-618.2688472,
01-05-2017,31-05-2017,DRREDDY.NS,-3.922320427,2582.649902,2481.350098,9607.767957,-392.2320427,
01-05-2017,31-05-2017,ECLERX.NS,3.1384682,858.166687,885.0999756,10313.84682,313.84682,
01-05-2017,31-05-2017,INFY.NS,7.977459199,461.2999878,498.1000061,10797.74592,797.7459199,
01-05-2017,31-05-2017,LUPIN.NS,-13.33793664,1303.800049,1129.900024,8666.206336,-1333.793664,
01-05-2017,31-05-2017,MCDOWELL-N.NS,8.092258052,387.1600037,418.4899902,10809.22581,809.2258052,
01-05-2017,31-05-2017,MPHASIS.NS,4.762325685,562.75,589.5499878,10476.23257,476.2325685,
01-05-2017,31-05-2017,PFIZER.NS,-3.329129099,1704.650024,1647.900024,9667.08709,-332.9129099,
01-05-2017,31-05-2017,SANOFI.NS,-4.303088202,4207.450195,4026.399902,9569.69118,-430.3088202,
01-05-2017,31-05-2017,SUNPHARMA.NS,-19.7218695,632.7999878,508,8027.81305,-1972.18695,
01-05-2017,31-05-2017,TCS.NS,11.40662066,1144.949951,1275.550049,11140.66207,1140.662066,
01-05-2017,31-05-2017,TECHM.NS,-7.138588195,418.1499939,388.2999878,9286.14118,-713.8588195,
01-06-2017,30-06-2017,ADANIPOWER.NS,7.977734908,26.95000076,29.10000038,10797.77349,797.7734908,
01-06-2017,30-06-2017,BSOFT.NS,6.111115832,72.73093414,77.17560577,10611.11158,611.1115832,
01-06-2017,30-06-2017,CIPLA.NS,5.469889026,515.5499878,543.75,10546.9889,546.9889026,
01-06-2017,30-06-2017,COALINDIA.NS,-7.612591574,265.3500061,245.1499939,9238.740843,-761.2591574,
01-06-2017,30-06-2017,CYIENT.NS,3.101951281,494.8500061,510.2000122,10310.19513,310.1951281,
01-06-2017,30-06-2017,GUJALKALI.NS,-5.365740612,415.6000061,393.2999878,9463.425939,-536.5740612,
01-06-2017,30-06-2017,IDFCFIRSTB.NS,-5.099389846,57.84999847,54.90000153,9490.061015,-509.9389846,
01-06-2017,30-06-2017,INFIBEAM.NS,7.381104342,20.2647953,21.76056099,10738.11043,738.1104342,
01-06-2017,30-06-2017,INGERRAND.NS,11.64558283,762.9500122,851.7999878,11164.55828,1164.558283,
01-06-2017,30-06-2017,IPCALAB.NS,-6.130831276,255.6750031,240,9386.916872,-613.0831276,
01-06-2017,30-06-2017,JUBLFOOD.NS,4.36832083,91.22499847,95.20999908,10436.83208,436.832083,
01-06-2017,30-06-2017,JUSTDIAL.NS,-14.36558888,438.2000122,375.25,8563.441112,-1436.558888,
01-06-2017,30-06-2017,LUPIN.NS,-7.912419906,1146.300049,1055.599976,9208.758009,-791.2419906,
01-06-2017,30-06-2017,MAHABANK.NS,-7.603303263,30.25,27.95000076,9239.669674,-760.3303263,
01-06-2017,30-06-2017,MMTC.NS,1.420957812,37.53333282,38.06666565,10142.09578,142.0957812,
01-06-2017,30-06-2017,OLECTRA.NS,-11.16863818,67.59999847,60.04999924,8883.136182,-1116.863818,
01-06-2017,30-06-2017,PFC.NS,-6.697283032,104.5199966,97.51999664,9330.271697,-669.7283032,
01-06-2017,30-06-2017,PFIZER.NS,6.427754604,1717.550049,1827.949951,10642.77546,642.7754604,
01-06-2017,30-06-2017,POLYMED.NS,4.184600547,209.1000061,217.8500061,10418.46005,418.4600547,
01-06-2017,30-06-2017,RENUKA.NS,-3.44827435,13.05000019,12.60000038,9655.172565,-344.827435,
01-06-2017,30-06-2017,SONATSOFTW.NS,2.580857293,57.39374924,58.875,10258.08573,258.0857293,
