Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference,,,,,,
01-04-2017,30-04-2017,ALKYLAMINE.NS,10.09869191,182.3999939,200.8200073,11009.86919,1009.869191,,Total Amount Invested: $ 13390000,,,,
01-04-2017,30-04-2017,BBTC.NS,10.62404052,850.9000244,941.2999878,11062.40405,1062.404052,,Total Amount Returned: $ 13831331.859085817,,,,
01-04-2017,30-04-2017,BLUEDART.NS,-7.238884757,5259.100098,4878.399902,9276.111524,-723.8884757,,Percentage Return:  3.2959810237925087 %,,,,
01-04-2017,30-04-2017,BLUESTARCO.NS,-3.009774831,358,347.2250061,9699.022517,-300.9774831,,,,,,
01-04-2017,30-04-2017,CERA.NS,6.517276709,2920.699951,3111.050049,10651.72767,651.7276709,,,,,,
01-04-2017,30-04-2017,ESCORTS.NS,1.860465116,537.5,547.5,10186.04651,186.0465116,,,,,,
01-04-2017,30-04-2017,FINCABLES.NS,-1.006686706,531.4500122,526.0999756,9899.331329,-100.6686706,,,,,,
01-04-2017,30-04-2017,FINPIPE.NS,-2.058624438,118.0400009,115.6100006,9794.137556,-205.8624438,,,,,,
01-04-2017,30-04-2017,GUJGASLTD.NS,11.51230217,151.4900055,168.9299927,11151.23022,1151.230217,,,,,,
01-04-2017,30-04-2017,IBULHSGFIN.NS,2.113666212,887.7310791,906.494751,10211.36662,211.3666212,,,,,,
01-04-2017,30-04-2017,INDIGO.NS,6.025884524,1043,1105.849976,10602.58845,602.5884524,,,,,,
01-04-2017,30-04-2017,INGERRAND.NS,16.53095016,773.7000122,901.5999756,11653.09502,1653.095016,,,,,,
01-04-2017,30-04-2017,ITI.NS,62.98655207,70.65000153,115.1500015,16298.65521,6298.655207,,,,,,
01-04-2017,30-04-2017,JKLAKSHMI.NS,-0.966391079,465.6499939,461.1499939,9903.360892,-96.63910789,,,,,,
01-04-2017,30-04-2017,KARURVYSYA.NS,2.6191554,98.62890625,101.2121506,10261.91554,261.91554,,,,,,
01-04-2017,30-04-2017,KSB.NS,-0.440744394,703.3499756,700.25,9955.925561,-44.07443938,,,,,,
