Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference
01-03-2024,13-03-2024,BAJFINANCE.NS,-2.060433947,6571.450195,6436.049805,9793.956605,-206.0433947
01-03-2024,13-03-2024,DIVISLAB.NS,2.738057097,3482.399902,3577.75,10273.80571,273.8057097
01-03-2024,13-03-2024,KOTAKBANK.NS,-0.425419679,1727.699951,1720.349976,9957.458032,-42.5419679
01-03-2024,13-03-2024,UPL.NS,-0.105362978,474.5499878,474.0499878,9989.463702,-10.53629782
,,,0.146840493,,,,14.68404926
