Start_Date,End_Date,Ticker,Percentage_Return,First_Day_Close,Last_Day_Close,Capital_At_Last_Day,Capital_Difference
01-03-2024,13-03-2024,HDFCBANK.NS,2.012933694,1430.75,1459.550049,10201.29337,201.2933694
01-03-2024,13-03-2024,HINDALCO.NS,1.897522074,519.0999756,528.9500122,10189.75221,189.7522074
01-03-2024,13-03-2024,ITC.NS,-1.233208252,409.5,404.4500122,9876.679175,-123.3208252
01-03-2024,13-03-2024,LTIM.NS,-1.220233273,5273.549805,5209.200195,9877.976673,-122.0233273
,,,1.457014243,,,,145.7014243
